mcsteps,1,2,3,4,5,6,7,8,9,10
730000,992.0,10.0,23.0,86.0,9.0,0.0,55.0,12.0,148.0,142.0
740000,992.0,7.0,15.0,86.0,11.0,0.0,47.0,12.0,156.0,142.0
750000,992.0,6.0,10.0,86.0,10.0,0.0,37.0,11.0,155.0,142.0
760000,992.0,5.0,9.0,84.0,9.0,0.0,30.0,3.0,156.0,144.0
770000,992.0,4.0,6.0,82.0,9.0,0.0,20.0,6.0,149.0,146.0
780000,992.0,4.0,6.0,80.0,9.0,0.0,17.0,2.0,147.0,148.0
790000,992.0,2.0,5.0,77.0,8.0,0.0,15.0,3.0,142.0,151.0
800000,992.0,12.0,72.0,87.0,7.0,0.0,47.0,0.0,144.0,154.0
810000,992.0,11.0,43.0,84.0,7.0,0.0,63.0,2.0,146.0,157.0
820000,992.0,11.0,30.0,82.0,7.0,0.0,61.0,9.0,148.0,159.0
830000,992.0,11.0,23.0,77.0,7.0,0.0,50.0,10.0,157.0,164.0
840000,992.0,9.0,19.0,75.0,6.0,0.0,40.0,5.0,157.0,166.0
850000,992.0,7.0,14.0,74.0,7.0,0.0,33.0,7.0,149.0,167.0
860000,992.0,6.0,9.0,73.0,7.0,0.0,25.0,4.0,154.0,168.0
870000,992.0,6.0,5.0,72.0,7.0,0.0,23.0,1.0,148.0,169.0
880000,992.0,6.0,3.0,69.0,6.0,0.0,20.0,2.0,144.0,172.0
890000,992.0,5.0,3.0,68.0,3.0,0.0,19.0,1.0,142.0,173.0
900000,992.0,15.0,75.0,74.0,2.0,1.0,45.0,2.0,140.0,180.0
910000,992.0,11.0,53.0,73.0,5.0,1.0,54.0,5.0,146.0,181.0
920000,992.0,9.0,38.0,69.0,5.0,1.0,56.0,7.0,149.0,185.0
930000,992.0,9.0,26.0,68.0,5.0,1.0,51.0,7.0,154.0,186.0
940000,992.0,8.0,19.0,67.0,5.0,1.0,38.0,7.0,157.0,187.0
950000,992.0,8.0,13.0,65.0,5.0,1.0,36.0,3.0,151.0,189.0
960000,992.0,8.0,12.0,64.0,5.0,1.0,27.0,5.0,97.0,190.0
970000,992.0,8.0,9.0,64.0,4.0,0.0,19.0,4.0,100.0,190.0
980000,992.0,8.0,6.0,63.0,4.0,0.0,18.0,2.0,96.0,191.0
990000,992.0,4.0,6.0,62.0,7.0,0.0,17.0,1.0,92.0,192.0
1000000,992.0,14.0,71.0,67.0,5.0,0.0,47.0,3.0,93.0,200.0
