mcsteps,1,2,3,4,5,6,7,8,9,10
730000,10.0,12.0,27.0,124.0,6.0,0.0,49.0,4.0,193.0,105.0
740000,10.0,9.0,20.0,123.0,4.0,0.0,41.0,8.0,201.0,106.0
750000,10.0,9.0,13.0,123.0,3.0,0.0,39.0,4.0,203.0,106.0
760000,10.0,8.0,9.0,122.0,3.0,0.0,33.0,4.0,213.0,107.0
770000,10.0,6.0,5.0,122.0,3.0,0.0,25.0,6.0,206.0,107.0
780000,10.0,5.0,4.0,119.0,3.0,0.0,22.0,2.0,214.0,110.0
790000,10.0,4.0,3.0,116.0,2.0,0.0,19.0,2.0,212.0,113.0
800000,10.0,13.0,80.0,124.0,3.0,0.0,39.0,1.0,216.0,118.0
810000,10.0,12.0,60.0,122.0,2.0,0.0,50.0,2.0,207.0,120.0
820000,10.0,11.0,47.0,120.0,2.0,0.0,46.0,5.0,218.0,122.0
830000,10.0,9.0,30.0,118.0,3.0,0.0,44.0,7.0,225.0,124.0
840000,10.0,7.0,24.0,116.0,4.0,0.0,43.0,2.0,237.0,126.0
850000,10.0,3.0,15.0,114.0,6.0,0.0,43.0,6.0,233.0,128.0
860000,10.0,3.0,12.0,113.0,6.0,0.0,33.0,10.0,242.0,129.0
870000,10.0,2.0,10.0,109.0,7.0,0.0,25.0,4.0,258.0,133.0
880000,10.0,2.0,9.0,107.0,6.0,0.0,22.0,0.0,256.0,135.0
890000,10.0,2.0,7.0,106.0,6.0,0.0,17.0,3.0,259.0,136.0
900000,10.0,11.0,79.0,116.0,6.0,0.0,42.0,0.0,257.0,139.0
910000,10.0,11.0,53.0,115.0,5.0,0.0,55.0,4.0,264.0,140.0
920000,10.0,11.0,40.0,114.0,5.0,0.0,54.0,7.0,269.0,141.0
930000,10.0,10.0,30.0,111.0,5.0,0.0,46.0,9.0,282.0,144.0
940000,10.0,9.0,23.0,106.0,4.0,0.0,41.0,7.0,296.0,149.0
950000,10.0,9.0,20.0,103.0,4.0,0.0,35.0,3.0,297.0,152.0
960000,10.0,6.0,14.0,101.0,3.0,0.0,32.0,5.0,303.0,154.0
970000,10.0,5.0,11.0,100.0,3.0,0.0,24.0,5.0,300.0,155.0
980000,10.0,5.0,10.0,97.0,3.0,0.0,16.0,3.0,310.0,158.0
990000,10.0,4.0,9.0,95.0,2.0,0.0,15.0,0.0,315.0,160.0
1000000,10.0,14.0,84.0,105.0,2.0,0.0,38.0,0.0,307.0,163.0
