mcsteps,1,2,3,4,5,6,7,8,9,10
720000,3927.0,3.0,44.0,128.0,9.0,1.0,48.0,3.0,195.0,101.0
730000,3927.0,2.0,32.0,125.0,9.0,0.0,49.0,6.0,191.0,104.0
740000,3927.0,2.0,27.0,125.0,9.0,0.0,36.0,10.0,203.0,104.0
750000,3927.0,0.0,16.0,124.0,9.0,0.0,33.0,7.0,197.0,105.0
760000,3927.0,0.0,13.0,123.0,9.0,0.0,29.0,4.0,207.0,106.0
770000,3927.0,0.0,12.0,118.0,7.0,0.0,22.0,4.0,209.0,111.0
780000,3927.0,0.0,8.0,117.0,7.0,0.0,20.0,0.0,218.0,112.0
790000,3927.0,0.0,7.0,116.0,7.0,0.0,16.0,3.0,213.0,113.0
800000,3925.0,8.0,79.0,124.0,9.0,0.0,40.0,2.0,218.0,118.0
810000,3925.0,6.0,46.0,122.0,9.0,0.0,58.0,5.0,215.0,120.0
820000,3925.0,4.0,30.0,121.0,10.0,0.0,53.0,9.0,230.0,121.0
830000,3925.0,4.0,22.0,120.0,9.0,0.0,39.0,12.0,242.0,122.0
840000,3925.0,4.0,17.0,118.0,7.0,0.0,32.0,2.0,263.0,124.0
850000,3925.0,4.0,11.0,116.0,7.0,0.0,31.0,3.0,257.0,126.0
860000,3925.0,2.0,8.0,114.0,7.0,0.0,27.0,4.0,262.0,128.0
870000,3925.0,0.0,7.0,111.0,8.0,0.0,19.0,3.0,272.0,131.0
880000,3925.0,0.0,2.0,110.0,6.0,0.0,19.0,2.0,268.0,132.0
890000,3925.0,0.0,1.0,109.0,4.0,0.0,17.0,1.0,272.0,133.0
900000,3925.0,10.0,72.0,116.0,3.0,0.0,40.0,4.0,270.0,139.0
910000,3925.0,5.0,51.0,115.0,5.0,0.0,51.0,3.0,279.0,140.0
920000,3925.0,3.0,39.0,114.0,7.0,0.0,50.0,3.0,278.0,141.0
930000,3925.0,1.0,29.0,111.0,9.0,0.0,52.0,6.0,282.0,144.0
940000,3925.0,1.0,19.0,110.0,9.0,0.0,46.0,9.0,294.0,145.0
950000,3925.0,1.0,14.0,110.0,9.0,0.0,43.0,4.0,296.0,145.0
960000,3925.0,1.0,7.0,108.0,8.0,0.0,32.0,9.0,306.0,147.0
970000,3925.0,1.0,5.0,106.0,7.0,0.0,24.0,6.0,304.0,149.0
980000,3925.0,1.0,3.0,105.0,5.0,0.0,16.0,4.0,315.0,150.0
990000,3925.0,0.0,2.0,102.0,6.0,0.0,11.0,2.0,323.0,153.0
1000000,3923.0,7.0,77.0,109.0,8.0,0.0,33.0,1.0,316.0,159.0
