meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
830000,2.722616e-09,2.4323533e-11,8.073787e-12,1.3503346e-12,3.611782e-11,2.3075597e-09,1.3225786e-09,5.4104807e-11,1.09617496e-10,2.3891078e-11,2.1914384e-10,1.6741603e-09
840000,2.7353129e-09,2.3789599e-11,6.863367e-12,9.952904e-13,3.3080667e-11,2.340999e-09,1.3323537e-09,5.3856468e-11,7.84489e-11,1.6525977e-11,2.2241882e-10,1.6863969e-09
850000,2.7634195e-09,2.3560034e-11,4.2929887e-12,5.177612e-13,2.887342e-11,2.3650066e-09,1.3251444e-09,5.3467793e-11,1.2156207e-11,3.921763e-12,1.9353473e-10,1.6836045e-09
860000,2.770262e-09,2.3268134e-11,6.358762e-12,8.995859e-13,2.9268917e-11,2.3843232e-09,1.3362116e-09,5.4069485e-11,7.872643e-11,1.6523956e-11,1.9553385e-10,1.6792194e-09
870000,2.7914075e-09,2.2229467e-11,8.2620005e-12,1.3787362e-12,3.1310572e-11,2.4062703e-09,1.3434063e-09,1.8172571e-11,1.1106744e-10,2.3616147e-11,1.8095826e-10,1.6811554e-09
880000,2.8135527e-09,2.1716011e-11,4.8574478e-12,6.4399554e-13,3.026191e-11,2.4370883e-09,1.3492445e-09,1.7333369e-11,1.2816159e-11,3.809995e-12,1.7898955e-10,1.6943416e-09
890000,2.8475227e-09,2.1721807e-11,4.6356603e-12,7.4946386e-13,3.5282836e-11,2.4516547e-09,1.3396367e-09,1.8442095e-11,1.6783854e-11,9.888775e-12,2.0346828e-10,1.6858541e-09
900000,2.854208e-09,2.3757236e-11,6.305891e-12,1.0188547e-12,3.3484715e-11,2.4740932e-09,1.3378322e-09,7.3162656e-11,7.8076656e-11,1.6875995e-11,2.2383524e-10,1.6910398e-09
910000,2.849299e-09,2.6899023e-11,8.148336e-12,1.1991508e-12,4.174093e-11,2.504081e-09,1.3388847e-09,1.12220525e-10,1.083191e-10,2.2566792e-11,2.7223632e-10,1.6724496e-09
920000,2.8689902e-09,2.6980876e-11,8.0981844e-12,1.2146426e-12,4.7252768e-11,2.5226417e-09,1.3543144e-09,1.124305e-10,1.0843031e-10,2.2606911e-11,2.9419575e-10,1.6809653e-09
930000,2.8768508e-09,2.7908635e-11,6.86347e-12,1.0729062e-12,4.3592564e-11,2.5680218e-09,1.3476801e-09,1.2262906e-10,7.76934e-11,1.6603883e-11,2.869403e-10,1.7017825e-09
940000,2.8733393e-09,2.8497763e-11,7.24979e-12,1.2984365e-12,4.0557134e-11,2.6042266e-09,1.3700229e-09,1.3206529e-10,9.507455e-11,2.2802132e-11,2.8264438e-10,1.7006113e-09
950000,2.9051814e-09,2.874274e-11,8.203134e-12,1.4629489e-12,4.436057e-11,2.6156457e-09,1.3667273e-09,1.3244335e-10,1.085856e-10,2.283726e-11,2.9102024e-10,1.6887597e-09
960000,2.8965028e-09,2.9837178e-11,6.229112e-12,8.0722847e-13,4.3803492e-11,2.6856724e-09,1.3784179e-09,1.4080082e-10,7.679906e-11,1.5978255e-11,2.993564e-10,1.7185425e-09
970000,2.9524605e-09,2.8820639e-11,4.812927e-12,7.642043e-13,5.1152964e-11,2.6930458e-09,1.3663706e-09,1.3242321e-10,1.8280561e-11,9.178731e-12,3.1993885e-10,1.713715e-09
980000,2.9733587e-09,3.065034e-11,6.7512432e-12,1.0146084e-12,5.0414145e-11,2.7131375e-09,1.3614609e-09,1.4935399e-10,7.750692e-11,1.6534973e-11,3.2223046e-10,1.7147634e-09
990000,2.9994778e-09,3.027416e-11,8.346243e-12,1.4907876e-12,5.109357e-11,2.7466058e-09,1.3541093e-09,1.4400786e-10,1.08048445e-10,2.2824619e-11,3.2715985e-10,1.7051882e-09
1000000,2.9889888e-09,2.8186913e-11,7.908864e-12,1.363574e-12,4.2485713e-11,2.7821776e-09,1.3625945e-09,1.3162292e-10,1.0707211e-10,2.2997385e-11,2.7943528e-10,1.727559e-09
